股票代码,股票简称,现价(元),涨跌幅(%),QFII持股比例(%)2018.09.30,QFII持股数量(股)2018.09.30,QFII持股市值(元)2018.09.30,QFII持股家数(家)2018.09.30,QFII持股选股明细
601009.SH,南京银行,7.15,0.28,14.87,1261487472.00,9650379160.80,1.,--
603868.SH,飞科电器,38.70,-0.26,14.08,6140809.00,307961571.35,1.,--
600132.SH,重庆啤酒,26.52,-1.52,14.04,67966333.00,1985296586.93,5.,--
300750.SZ,宁德时代,80.11,-1.52,14.00,30409749.00,2219911677.00,7.,--
601169.SH,北京银行,6.05,0.33,13.64,2489526374.00,15211006145.14,1.,--
603605.SH,珀莱雅,41.30,-0.77,12.05,6023779.00,259805588.27,1.,--
002583.SZ,海能达,8.84,1.49,10.37,109077513.00,879164762.84,3.,--
603866.SH,桃李面包,49.50,0.04,10.30,6096725.00,356658412.50,3.,--
603839.SH,安正时尚,13.02,3.66,10.12,10577090.00,130415519.70,1.,--
603056.SH,德邦股份,19.38,1.41,9.60,9599977.00,209759497.45,1.,--
000796.SZ,凯撒旅游,8.02,-0.25,8.66,21298996.00,174225787.28,1.,--
300545.SZ,联得装备,19.07,1.71,8.49,3932917.00,70241897.62,3.,--
300166.SZ,东方国信,12.61,-0.40,7.99,64741441.00,804736111.63,3.,--
002439.SZ,启明星辰,20.40,-2.16,6.90,40418877.00,762300020.22,4.,--
300616.SZ,尚品宅配,73.20,0.07,6.72,4583400.00,409801794.00,2.,--
300203.SZ,聚光科技,25.09,-2.03,6.71,30289546.00,751786556.54,3.,--
300133.SZ,华策影视,10.31,-2.18,6.48,78228868.00,749432555.44,4.,--
600138.SH,中青旅,14.65,3.10,5.66,40944808.00,647746862.56,3.,--
000089.SZ,深圳机场,8.07,-0.37,5.58,114405509.00,964438440.87,4.,--
300278.SZ,华昌达,7.34,0.00,5.54,14847261.00,100219011.75,1.,--
600761.SH,安徽合力,8.65,1.17,5.16,38199185.00,365566200.45,3.,--
000423.SZ,东阿阿胶,45.88,2.99,5.11,33429507.00,1586898697.29,2.,--
001965.SZ,招商公路,8.56,-1.04,4.75,26358858.00,224841058.74,1.,--
600690.SH,青岛海尔,13.82,2.14,4.42,269673927.00,4455013274.04,1.,--
300347.SZ,泰格医药,47.75,-2.27,4.41,14549342.00,781590652.24,1.,--
600258.SH,首旅酒店,17.99,-0.66,4.26,26604496.00,538741044.00,2.,--
601100.SH,恒立液压,20.58,-0.19,4.06,35843817.00,800392433.61,1.,--
002327.SZ,富安娜,8.54,3.14,3.95,20510344.00,165108269.20,2.,--
603515.SH,欧普照明,29.21,0.14,3.70,4707900.00,136858653.00,1.,--
002008.SZ,大族激光,35.13,5.09,3.67,36497097.00,1546381999.89,3.,--
601138.SH,工业富联,12.86,-0.23,3.44,38405667.00,546896698.08,3.,--
002707.SZ,众信旅游,7.64,5.23,3.30,16854058.00,141742627.78,1.,--
002833.SZ,弘亚数控,40.76,0.35,3.30,1784091.00,73147731.00,2.,--
601900.SH,南方传媒,8.28,-0.84,3.29,5785237.00,45934781.78,2.,--
600201.SH,生物股份,18.30,-0.38,3.28,37315310.00,635106576.20,3.,--
300450.SZ,先导智能,26.29,-2.05,3.15,14647047.00,384924395.16,2.,--
600456.SH,宝钛股份,15.55,1.44,3.13,13473857.00,209518476.35,4.,--
600867.SH,通化东宝,14.50,-1.90,3.09,61046549.00,1107384398.86,2.,--
601098.SH,中南传媒,12.18,-1.46,3.06,54981634.00,663628322.38,2.,--
300595.SZ,欧普康视,40.92,-2.15,3.06,4183575.00,148726091.25,2.,--
002032.SZ,苏泊尔,50.72,1.04,3.05,16634777.00,897945262.46,2.,--
600452.SH,涪陵电力,17.50,-1.30,3.03,6791246.00,111172697.02,2.,--
600645.SH,中源协和,17.72,-0.78,3.00,11520000.00,223257600.00,1.,--
600009.SH,上海机场,51.60,2.38,2.96,32420864.00,1905374177.28,2.,--
600723.SH,首商股份,6.78,1.96,2.94,19367906.00,131120723.62,2.,--
002311.SZ,海大集团,22.53,0.36,2.94,45365480.00,986245535.20,2.,--
000999.SZ,华润三九,24.87,-0.16,2.89,28310948.00,721079845.56,2.,--
600229.SH,城市传媒,8.50,9.96,2.87,20138045.00,151236717.95,2.,--
300003.SZ,乐普医疗,29.60,-6.92,2.85,40142295.00,1218318653.25,4.,--
601021.SH,春秋航空,35.38,-1.91,2.83,22657297.00,813850108.24,3.,--
600361.SH,华联综超,3.87,0.52,2.80,18636443.00,71191212.26,2.,--
603259.SH,药明康德,86.94,-0.47,2.79,2909846.00,269306339.85,2.,--
002624.SZ,完美世界,25.60,-1.43,2.79,12994193.00,313939702.88,1.,--
000333.SZ,美的集团,42.00,2.17,2.78,179968213.00,7252718983.90,2.,--
000887.SZ,中鼎股份,11.48,3.89,2.73,33297895.00,370605571.35,3.,--
002241.SZ,歌尔股份,7.85,1.16,2.62,71246157.00,591343103.10,2.,--
600004.SH,白云机场,10.35,0.58,2.55,52859219.00,675012226.63,2.,--
600801.SH,华新水泥,18.45,-2.23,2.47,24040777.00,484181248.78,1.,--
603848.SH,好太太,16.26,2.59,2.41,986645.00,16348724.22,1.,--
600739.SH,辽宁成大,12.41,3.16,2.36,36036867.00,498389870.61,1.,--
603416.SH,信捷电气,22.53,-0.35,2.29,805380.00,17806951.80,1.,--
002891.SZ,中宠股份,30.86,-1.06,2.29,1233196.00,36280626.32,1.,--
300271.SZ,华宇软件,14.98,3.45,2.27,12284922.00,164249407.14,1.,--
000429.SZ,粤高速A,7.53,0.40,2.24,10522779.00,81341081.67,1.,--
603308.SH,应流股份,9.73,0.93,2.24,8952762.00,94630694.34,2.,--
